ano,id,numero,situacao,alteraPortaria,alteradaPorPortaria,rawAlteracao
2022,a4bc4274-24f9-42a6-acaa-1e98855eee91,CPV.0003,revogada,,,"revogada pela portaria CPV. 24/2022"
2022,ef42be83-e405-4664-bb14-db405e5efc2a,CPV.0001,revogada,Revoga 221/2021,,"revogada pela portaria 81/2022"
2022,2e405d46-45c1-4fb8-82a7-04dadb627a47,CPV.0002,extinta,,,"extinta"
2022,0d6540f8-efb7-4326-bff7-60fe30412af5,CPV.0005,extinta,,,"extinta"
2022,c8a8436c-6f07-408b-86bd-3a4df3386bd9,CPV.0006,extinta,,,"extinta"
2022,27212b18-ef96-455f-a49a-297ce09173e2,CPV.0004,extinta,,,"extinta"
2022,4af8a69d-cdf3-4697-8c6e-a361c7e7de9e,CPV.0008,extinta,,,"extinta"
2022,749c8fc2-a00f-46da-96f8-cdfe84606376,CPV.0007,vigente,,,"vigente"
2022,f25e8cf2-b4dd-4a08-8f36-1bef2f51b44b,CPV.0009,alterada,Altera CPV.103/2021,,"Alterada pela portaria nº 14/2022"
2022,86c17fa3-5d65-4aee-80b1-a6e71b4f0b3f,CPV.0010,vigente,Altera CPV.105/2021,,"vigente"
2022,7c8ef99c-456f-42f0-b974-3fd7db9b31c4,CPV.0011,alterada,Altera CPV.100/2021,,"Alterada pela portaria 17/2022"
2022,53000eb7-9e3e-4412-8d46-e98b52bf89a6,CPV.0014,revogada,Altera CPV.9/2022,,"revogada pela portaria 46/2023"
2022,e3350394-7f82-4663-b6ce-8adb6851ba1d,CPV.0015,revogada,Altera CPV.0180/2021,,"revogada pela portaria 52/2022"
2022,3029ad7a-b5ec-46ac-9e4b-b84cd69f51dd,CPV.0012,alterada,Altera CPV.147/2021,,"Alterada pela portaria 18/2022"
2022,d84c66c6-afda-43a4-b871-82c7ced78c53,CPV.0013,extinta,,,"extinta"
2022,08287eb4-9f47-4fd2-9fd9-1b8199818b38,CPV.0017,revogada,Altera CPV.11/2022,,"revogada pela portaria CPV. 69/2022"
2022,d72a068b-6fc2-48fd-baa9-37afee7ba03c,CPV.0016,alterada,Altera CPV.0189/2021,,"Alterada pela portaria 127/2022"
2022,8a570bcb-6966-42f6-9c53-c5d11333b7b5,CPV.0019,extinta,,,"extinta"
2022,b8a028a8-b96d-4572-ba44-3b57ef26ba0b,CPV.0018,revogada,Altera CPV.12/2022,,"revogada pela portaria CPV. 70/2022"
2022,43ab2172-5114-4547-8424-a00169fd8c72,CPV.0020,revogada,Revoga CPV.198/2021,,"revogada pela portaria CPV. 22/2022"
2022,f3069b39-d40c-4415-a219-f3f8cea17483,CPV.0024,revogada,Revoga CPV.03/2022,132/2022,"Revogada pela Portaria 132/2022"
2022,6351923e-bce1-47a9-85e7-b126f7fa1706,CPV.0021,extinta,,,"extinta"
2022,6c2250e3-802f-4005-89d3-cc97505ec076,CPV.0022,alterada,Revoga CPV.20/2022; 198/2021; 174/2021; 121/2021; 0113/2021; 0076/2021; 0042/2021; 0056/2020,,"alterada pela portaria 41/2023"
2022,9cd53d0a-de0c-454c-b506-6cc27b6e048b,CPV.0023,vigente,Revoga CPV.178/2021,,"vigente"
2022,03974345-2780-4335-9148-ba852cc4801a,CPV.0026,alterada,Revoga CPV.0014/2021; ,,"Alterada pela portaria 10/2023"
2022,1651226e-7845-407d-87df-d9749308b771,CPV.0025,revogada,Revoga CPV.187/2021,,"revogada pela portaria CPV. 32/2022"
2022,1d5dde9d-dad5-4f36-aaa2-4dd051c97fd2,CPV.0027,vigente,Revoga CPV.0191/2021.,,"vigente"
2022,e09ef88c-f848-4362-99cb-e1a7d8c666f8,CPV.0030,revogada,Revoga CPV.0060/2019,,"revogada"
2022,7125c4b3-24ba-473d-9c82-44e21d7e5006,CPV.0031,vigente,,,"vigente"
2022,23c82da3-bda8-4d98-b5f5-7514f93d2482,CPV.0028,revogada,Revoga CPV.0086/2021,,"revogada pela portaria 5/2023"
2022,a8fc251a-d5e3-4f95-b197-927cb1e5a34f,CPV.0029,revogada,Revoga CPV.0085/2021,,"revogada pela portaria 04/2023"
2022,44b1bede-7c72-4eb7-9cc8-66c22edaf76f,CPV.0034,vigente,Revoga CPV.0029/2019,,"vigente"
2022,e380105c-faac-47a5-9ab6-b15a1bf5f78a,CPV.0033,alterada,Retifica CPV.32/2022,,"Alterada pela 17/2023"
