ano,id,numero,situacao,alteraPortaria,alteradaPorPortaria,rawAlteracao
2023,98e79d74-91f0-4197-9472-d0225f6dc053,CPV.0059,vigente,altera 45/2023,,"vigente"
2023,2a8de326-6c58-479f-99c0-a351f054771c,CPV.0062,vigente,,,"vigente"
2023,58bf6093-1a49-4d22-91f7-caf81eadf55e,CPV.0061,vigente,,,"vigente"
2023,a7181403-7142-458b-9c1e-1a6e2e5121bc,CPV.0063,vigente,,,"vigente"
2023,3f4f2a6f-2373-4258-ba3a-ecc79c9e1dac,CPV.0064,vigente,,,"vigente"
2023,97c2f557-085b-4ade-8881-82821d6aca52,CPV.0067,vigente,,,"vigente"
2023,5c5c9f52-b855-44dd-b085-7361d7052016,CPV.0065,vigente,,,"vigente"
2023,7a0d4212-95ba-45f7-b0c3-057ffeb6918b,CPV.0066,vigente,,,"vigente"
2023,a750eab1-dd65-407c-82f2-3979f0ece06c,CPV.0070,vigente,,,"vigente"
2023,f20aa3f6-261f-46d7-bd24-5d7d7b5b90fb,CPV.0069,vigente,,,"vigente"
2023,963b3d2c-8257-4a1c-9295-8fd80fffc139,CPV.0071,vigente,,,"vigente"
2023,96ac3a37-d042-44b4-970c-aafb5ae95946,CPV.0068,vigente,,,"vigente"
2023,7102b19e-e3d9-47e7-9158-9fe5b9009e34,CPV.0074,alterada,Altera 127/2022,,"Alterada pela portaria 133/2023"
2023,0016c6be-a666-4096-bb3d-d76e3f61ac55,CPV.0073,vigente,Altera 16/2023,,"vigente"
2023,fe654c22-2d75-4410-ae29-6a21f55d08e9,CPV.0072,vigente,,,"vigente"
2023,86a68cbd-f0dc-4a68-b035-f58c8974cf15,CPV.0076,vigente,,,"vigente"
2023,e2bed83a-cbcc-433f-b215-966bb6d97c86,CPV.0078,revogada,,,"revogada pela portaria 79/2023"
2023,fbd65c2c-2a0a-4f9d-88bc-e42afc5abb09,CPV.0077,vigente,Altera 212/2021,,"vigente"
2023,4a2128ef-9c62-4e13-b093-aa8d19b42f46,CPV.0075,vigente,,,"vigente"
2023,c2930a02-b6a6-4bbe-a91b-c257b4f4e488,CPV.0080,vigente,,,"vigente"
2023,5ac90a9a-d949-4582-9a69-cbc4662895b1,CPV.0079,vigente,Revoga 78/2023,,"vigente"
2023,5f0226b8-e0c6-4595-89c4-de29ece04bd5,CPV.0081,revogada,Revoga 204/2021/ 2011/2021/ 213/2021; 214/2021; 215/2021,,"revogada"
2023,cef7225e-28a2-4fbe-99e7-b87771ea391a,CPV.0082,vigente,,,"vigente"
2023,f21570e0-1242-4c37-8093-259bbcea5f0f,CPV.0083,vigente,,,"vigente"
2023,ccb7f4d1-80cc-4f9b-b7e2-c732a71e18f5,CPV.0088,vigente,,,"vigente"
2023,518e5ce0-55d5-4398-ae84-863ff8cf75b8,CPV.0084,vigente,altera 93/2022,,"vigente"
2023,3be2c63e-e528-4bf2-b471-3c24dcf77ee5,CPV.0087,vigente,Revoga 129/2022,,"vigente"
2023,15c366e5-68fb-4e70-b391-6457e422a52c,CPV.0086,vigente,,,"vigente"
2023,2a1eafec-23ea-4e7c-ac4e-b8a26edb3472,CPV.0085,vigente,ALtera 91/2022,,"vigente"
2023,ee167fd1-fa68-4780-b70d-e32b908e0818,CPV.0092,vigente,Altera 11/2023,,"vigente"
2023,8dae80f6-5e9f-44d1-90d4-2a3852b6865e,CPV.0089,vigente,Altera 112/2022,,"vigente"
2023,b52f6f1e-2736-48a0-9cb1-e3e4c76e1ad4,CPV.0090,alterada,,130/2023,"Alterada Pela Portaria 130/2023"
2023,6548fa22-6600-4392-9a9f-cbd29a36e567,CPV.0091,vigente,Altera 114/2022,,"vigente"
2023,fdda5ffd-a981-4fb6-a369-b148d59bea7e,CPV.0093,vigente,Altera 77/2023,,"vigente"
2023,6a8751fd-7c94-4e58-b99b-319710c5071b,CPV.0095,vigente,Altera 31/2023,,"vigente"
2023,65b061f2-6600-4155-bef2-a785d1fecc49,CPV.0094,vigente,,,"vigente"
2023,8baee6ec-9ce9-4722-a493-9bb6fd0129f0,CPV.0098,vigente,,,"vigente"
2023,6d49e01c-d7eb-45f4-9483-f968bd6916da,CPV.0097,vigente,,,"vigente"
2023,a054658c-8296-4a4a-98cc-85d190b12bfa,CPV.0099,vigente,Altera 102/2022,,"vigente"
2023,2d25394b-7c97-46d3-8198-ca3c135292bd,CPV.0096,vigente,Altera 84/2023,,"vigente"
2023,ef65e26a-12ef-4dd4-9edf-6ffe069d001c,CPV.0101,vigente,,,"vigente"
2023,e9d3b9eb-af04-4bc0-8247-b09f8a17abf7,CPV.0100,vigente,,,"vigente"
2023,b1c165f7-8415-436e-bbc8-68931a55e802,CPV.0102,alterada,Altera 17/2023,,"alterada pela portaria 116/2023"
2023,db01ba96-539d-48f5-9f57-e097d0eb3907,CPV.0106,vigente,Altera 103/2023,,"vigente"
2023,f828b2cb-bc21-46e3-9cf0-a1ab9481d6a6,CPV.0103,alterada,Altera 39/2022,,"Alterada pela portaria 106/2023"
2023,5305f109-989a-4f20-b55b-c3f8f605fc16,CPV.0105,vigente,Altera 135/2021,,"vigente"
