numero,publicacao,assunto,classificacao,permanente,situacao,validade,servidores,alteracao,link
CPV.0037,03/15/2023,"Trata da Retificação da Portaria nº 29/2023 - DRG/CPV/IFSP de 06 de março de 2023, que trata da Banca EXAPE de Análise e Desenvolvimento de Sistemas",C,T,retificação,,,,https://drive.google.com/file/d/1t6V_fyH0DvcthZFxUfZ93amEP6S4o1Mn/view?usp=share_link
CPV.0044,03/20/2023,Designação de fiscais de contrato - Contrato 01.712/2019 - Nutrimax Ltda.,F,P,Retificada pelça portaria 47/2023,"até o vencimento do contrato e de sua garantia, quando houver.","Arlete Teresinha Esteves Brandi, Renan Giollo Francisco",,https://drive.google.com/file/d/15uVeynxeF51l-llwG9CQuQgviZu5HF5C/view?usp=share_link
CPV.0047,03/28/2023,"Trata da Retificação da Portaria nº 44/2023 - DRG/CPV/IFSP, de 20 de março de 2023",R,P,Retificação,,,Retifica 44/2023,https://drive.google.com/file/d/1X6PJU3WHYtim4Ly95RUvCnUJZiXqcmG7/view?usp=share_link
CPV.0060,04/03/2023,"designação de servidor e aprovação do Projeto Institucional de ""Elaboração de materiais didáticos para ensino da área de informática"" do IFSP CPV",P,T,retificada pela portaria 114/2023,12/31/2023,Waldo Luis de Lucca; Vitor Brandi Junior,,https://drive.google.com/file/d/1tl6AYnBZSAUwP9FU1VZh9DuzHmnpUxt7/view?usp=share_link
CPV.0110,07/07/2023,Trata da Designação de Função de Apoio à Gestão FAG – Coordenador do Curso de Pós-Graduação Gestão Lato Sensu em Educações e Tecnologias Digitais.,C,T,Retificada pela portaria 111/2023,31/12/2023,Paloma Epprecht e Machado de Campos Chaves,,https://drive.google.com/file/d/1-hnZNyrRZL9bO9U7UWfynHd034M0peJ_/view?usp=drive_link
