numero,publicacao,assunto,classificacao,permanente,situacao,validade,servidores,alteracao,link
CPV.0011,02/14/2023,rata da designação dos membros da Comissão para Avaliação de Atividade Docente – CAAD de Linguagens do IFSP – Câmpus Capivari.,C,P,Alterada pela portaria 92/2023,5/19/2024,Fernanda Tonelli; Erica Maio Taveira Grande;Fabiana Bigaton Tonin,Altera 59/2022,https://drive.google.com/file/d/1YQnaW7kdLSB2UBYiatd11A8ba4SaFShn/view?usp=share_link
CPV.0012,02/14/2023,Trata da designação dos membros para Comissão de Consciência Negra do IFSP Câmpus Capivari,C,P,vigente,7/31/2023,Izabel Maria Barral Teixeira;Luciana Lima Batista;Michele Cristina dos Santos,ALtera 128/2022,https://drive.google.com/file/d/1SuaOx3ULgQtv2fFyRF9sAK3626QSo6BH/view?usp=share_link
CPV.0013,02/14/2023,Trata da designação dos membros para Comissão de Sustentabilidade do IFSP Câmpus Capivari,C,T,vigente,Sem mandato expresso,Arlete Terezinha Esteves Brandi; Aderbal Almeida Rocha; Ana Alice Colamarino Gatti; Bruna Silva de Almeida; Roberto Tadashi Kono,ALtera 110/2022,https://drive.google.com/file/d/1PZ5sI-U3RGhrfE_qJLEDsREQfi3JIDeQ/view?usp=share_link
CPV.0014,02/14/2023,Trata da instituição e designação de membros que comporão o Corpo editorial da Revista Ciência em Evidência,C,T,vigente,Sem mandato expresso,Erica Maio Taveira Grande; Adria de Sousa Bentes; Alexandre Garcia Aguado; Ana Karina Cancian Baroni;Bruna Carolina Rodrigues da Cunha;Carlos Fernando Barbosa da Silva;Fabiana Bigaton Tonin;Gislaine Vieira Damiani;Izabel Maria Barral Teixeira;Maria Amélia Ferracciú Pagotto;Tiago Pellim da Silva;Valdir Antonio Vitorino Filho;Vitor Brandi Junior,Altera 105/2022,https://drive.google.com/file/d/1PZ5sI-U3RGhrfE_qJLEDsREQfi3JIDeQ/view?usp=drive_link
CPV.0015,02/14/2023,Trata da designação dos membros da Comissão de Comunicação do IFSP - Câmpus Capivari.,C,P,vigente,Sem mandato expresso,Gustavo Baptistella Leite da Silva; Alexandre Camargo Maia;Eduardo Camargo Maia;Grazielle Nayara Felício Silva;Luciane Belini de Oliveira Sabó;Michele Pereira de Faria;Renan Giollo Francisco;Zenilton José da Rocha,Altera 37/2022,https://drive.google.com/file/d/1Fk3bqs3-MpdJz4d-tNozTEZWhKqlj7c3/view?usp=share_link
CPV.0016,02/15/2023,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Química Integrado ao Ensino Médio do IFSP-Câmpus Capivari.,C,P,Alterada pela portaria 73/2023,6/17/2023,Maria Elisa de Castro Almeida; Aderbal Almeida Rocha; Alexandre Camargo Maia ;André Valente de Barros Barreto; Beatriz Simonaio Birelli Falco ; Carolina Marocco Corneta;Cleidson Santiago de Oliveira; Felipe de Paula Góis Vieira ;Flávio Henrique Ferraresi ;Gianna Andréia Ferreira Gobbi; Spadote; Lorena Faria Docente; Luís Eduardo Pais dos Santos; Roberto Bineli Muterle ;Sheila Pasqualotto;Vanessa Cardoso Paviotti,Altera 98/2022,https://drive.google.com/file/d/1uaNDE0Kar8R7oDXqht-GPop0UEFmlIbG/view?usp=share_link
CPV.0017,02/15/2023,Trata da Designação dos membros da Brigada de Incêndio do IFSP – Câmpus Capivari.,C,P,Alterada pela portaria 102/2023,sem mandato expresso,Roberto Tadashi Kono; Cleidson Santiago de Oliveira;Aderbal Almeida Rocha;Alexandre Camargo Maia;Alexandre Santa Bárbara de Azevedo;Ana Carla Dantas Midões;Ana Karina Cancian Baroni;André Valente de Barros Barreto;Antonio Carlos da Silva Bomfim;Carolina Marocco Corneta;Caio Hamamura;Daniel Ramos de Souza;Eduardo Camargo Maia;Elielma de Araújo Prazeres;Fabiana Ocampos;Fernando César Russo Gomes;Flavio Henrique Ferraresi;Gianna Andréia Ferreira Gobbi Spadote;Gustavo Baptistella Leite da Silva;João Batista de Medeiros;Ina Thomé Picoli;Izabel Maria Barral Teixeira;Luís Eduardo Pais dos Santos;Maria Elisa de Castro Almeida;Maria Heloísa Saraiva Vicente;Maria Ivete Pavan;Mateus Nordi Esperança;Mayumi Silva Kawamoto;Osmar Ruy Neto;Tiago José Berg;Valdir Antonio Vitorino Filho;Wagner Machado do Amaral;Washington Ernando Pereira Benício;Zenilton José da Rocha,Altera 32/2022,https://drive.google.com/file/d/1GHn0MG8Z54aySBfAF_hNh-LKDt_qVjfH/view?usp=share_link
CPV.0018,02/16/2023,Trata da designação dos membros da Comissão de apoio às atividades dos discentes junto ao Conselho Regional de Química do Câmpus Capivari,C,P,vigente,sem mandato expresso,Ademir Geraldo Cavallari Costalonga;Mayumi Silva Kawamoto,Altera 229/2021,https://drive.google.com/file/d/1F01Uozpv7A1AHRyPVKb2WUI99OQxpUO-/view?usp=share_link
CPV.0019,02/23/2023,Designação de fiscais de contrato 02.712/2023 - Pregão no 09.712/2022  - ,F,T,vigente,"até o vencimento do contrato e de sua garantia, quando houver.",Luciana Martins Gatti ;César Eduardo Armelin;Zenilton José da Rocha; Antonio Carlos da Silva Bomfim;Mateus Henrique Messias ;Eduardo Camargo Maia,,https://drive.google.com/file/d/1C5ShF5pzhHbIypSgiMSrjatf6lcyIU9F/view?usp=share_link
CPV.0020,02/23/2023,Trata da designação dos membros do Núcleo de Apoio às Pessoas com Necessidades Educacionais Específicas (NAPNE) do IFSP - Câmpus Capivari.,C,P,alterada pela portaria 23/2023,2/24/2025,Grazielle Nayara Felício Silva;Ivana Lopes de Oliveira Arruda;Ana Carla Dantas Midões ;Carlos Roberto Paviotti ;Daniel Ramos de Souza;Elielma de Araújo Prazeres;Gianna Andréia Ferreira Gobbi Spadote; Grazielle Cristine Elias;Ione Arsenio da Silva;Izabel Maria Barral Teixeira; Juscelino Pereira de Souza;Larissa Carvalho Alves;Luciana Martins Gatti; Maria Heloisa Saraiva Vicente;Maria Elisa de Castro Almeida;Mateus Carvalho Meira;Roberto Tadashi Kono Talita Barbosa Plantcoski Bulgraen,Revoga 188/2021,https://drive.google.com/file/d/1idiIf1CTL3vekryOO6PrZTsaJviAM_w1/view?usp=share_link
CPV.0021,02/23/2023,Designação de fiscais de contrato 01.712/2023 – Pregão SRP no 08/2022 UASG 201057,F,T,vigente,"até o vencimento do contrato e de sua garantia, quando houver.","Lucas Bonetti, Josér Renato Paviotti",,https://drive.google.com/file/d/1d-gyL6U0j6f4ZIsYyFYQChV0Iy0BJmQ6/view?usp=share_link
CPV.0022,02/23/2023,Trata da designação dos membros da Equipe Local de Formação Continuada dos Professores e de Profissionais da Área Pedagógica do IFSP – Câmpus Capivari.,C,P,Alterada pela portaria 31/2023,sem mandato expresso,Everton Pereira Barbosa; Gianna Andréia Ferreira Gobbi Spadote; Ivonete Fernandes de Souza; Mateus Carvalho Meira,Altera 205/2021,https://drive.google.com/file/d/10HYAMZdU1xVhPr-zbrf50BJluk2AkJo4/view?usp=share_link
CPV.0023,02/23/2023, Trata da designação dos membros do Núcleo de Apoio às Pessoas com Necessidades Educacionais Específicas (NAPNE) do IFSP - Câmpus Capivari.,C,P,Alterada pela portaria 118/2023,2/24/2025,"Grazielle Nayara Felício Silva;Ivana Lopes de Oliveira Arruda;Ana Carla Dantas Midões ;Beatriz simonaio bireli falco, Carlos Roberto Paviotti ;Daniel Ramos de Souza;Elielma de Araújo Prazeres;Gianna Andréia Ferreira Gobbi Spadote; Grazielle Cristine Elias;Ione Arsenio da Silva;Izabel Maria Barral Teixeira; Juscelino Pereira de Souza;Larissa Carvalho Alves;Luciana Martins Gatti; Maria Heloisa Saraiva Vicente;Maria Elisa de Castro Almeida;Mateus Carvalho Meira;Roberto Tadashi Kono Talita Barbosa Plantcoski Bulgraen",Altera 20/2023,https://drive.google.com/file/d/1FaWdMqHoCfIFu22WFwk_hdCyifDuf0LQ/view?usp=drive_link
CPV.0024,02/27/2023,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico (CEIC) do Curso Técnico em Informática para internet Integrado ao Ensino Médio do IFSP - Câmpus Capivari.,C,P,Alterada pela portaria 26/2023,até a formatura da primeira turma do curso.,"Everton Pereira Barbosa, Alexandre Camargo Maia, André Valente de Barros Barreto, Beatriz Simonaio Birelli Falco, Edivaldo Serafim ,Fernanda Tonelli, Francine Maria Ribeiro, Francisco Marcio Barbosa Teixeira ,Gianna Andréia Ferreira Gobbi Spadote, Karlan Ricomini Alves,Maria Amélia Ferracciú Pagotto ,Maria Elisa de Castro Almeida, Roberto Tadashi Kono, Wagner machado do amaral, vanessa cardoso paviotti",Altera 115/2022,https://drive.google.com/file/d/1pueGJoJCmN_URpxT6b5t2BKf1TnhH470/view?usp=share_link
CPV.0025,02/27/2023,Trata da designação dos membros da Equipe Multidisciplinar do IFSP Câmpus Capivari,C,P,vigente,8/6/2023,"Valdir Antonio Vitorino Filho, Grazielle Nayara Felício Silva, Ione Arsenio da Silva, Júnio Rodrigues de Oliveira, Larissa Carvalho Alves,Talita Barbosa Plantcoski Bulgraen,Tiago Pellim da Silva",Altera 216/2021,https://drive.google.com/file/d/1RGXp0915Fh8ill3VAwl7bDE7SLMCCNS7/view?usp=share_link
CPV.0026,02/27/2023,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico (CEIC) do Curso Técnico em Informática para internet Integrado ao Ensino Médio do IFSP - Câmpus Capivari.,M,P,vigente,até a formatura da primeira turma do curso.,"Everton Pereira Barbosa, Alexandre Camargo Maia, André Valente de Barros Barreto, Beatriz Simonaio Birelli Falco, Edivaldo Serafim ,Fernanda Tonelli, Francine Maria Ribeiro, Francisco Marcio Barbosa Teixeira ,Gianna Andréia Ferreira Gobbi Spadote, Karlan Ricomini Alves,Maria Amélia Ferracciú Pagotto ,Maria Elisa de Castro Almeida, Matheus Carvalho Meira, Roberto Tadashi Kono, Wagner machado do amaral, vanessa cardoso paviotti",Altera 24/2023,https://drive.google.com/file/d/1zGwQh85mOtFlIezYdYOniCfH621ZPkn_/view?usp=share_link
CPV.0027,03/06/2023,Trata da designação dos membros da Comissão para Avaliação de Extraordinário Aproveitamento de Estudos (EXAPE) disciplina Sistemas Distribuidos de Análise e Desenvolvimento de Sistemas do IFSP – Câmpus CPV,C,T,vigente,"Até entrega do parecer à Coordenação do Curso.","Waldo Luis de Lucca;Rafael Fernando Diório;Edivaldo Serafim;Beatriz Simonais Birelli Falco",,https://drive.google.com/file/d/1JtiRk2hFffWMjFBCRCfnYi9NQBfMFcK8/view?usp=share_link
CPV.0028,03/06/2023,Trata da designação dos membros da Comissão para Avaliação de Extraordinário Aproveitamento de Estudos (EXAPE) disciplina Empreendedorismo de Análise e Desenvolvimento de Sistemas do IFSP – Câmpus CPV,C,T,vigente,"Até entrega do parecer à Coordenação do Curso.","Fernando César Russo Gomes;Meire Ramalho de Oliveira;Valdir Antonio Vitorino Filho;Giana Andréia Gobbi Spadote",,https://drive.google.com/file/d/14tRr1tGd1pT_ij3YunYL3fcRN0kjOhu7/view?usp=share_link
CPV.0029,03/06/2023,Trata da designação dos membros da Comissão para Avaliação de Extraordinário Aproveitamento de Estudos (EXAPE) disciplina Segurança da Informação de Análise e Desenvolvimento de Sistemas do IFSP – Câmpus CPV,C,T,vigente,"Até entrega do parecer à Coordenação do Curso.","Waldo Luis de Lucca;Rafael Fernando Diório;Edivaldo Serafim;Beatriz Simonaio Birelli Falco",,https://drive.google.com/file/d/1oTaFOnBZ_sLWxoyqsGZICCxjYy6xWmOb/view?usp=share_link
CPV.0030,03/06/2023,Trata da designação dos membros da Comissão para Avaliação de Extraordinário Aproveitamento de Estudos (EXAPE) disciplina Tópicos Especiais de Análise e Desenvolvimento de Sistemas do IFSP – Câmpus CPV,C,T,vigente,"Até entrega do parecer à Coordenação do Curso.","Rafael Fernando Diório;Bruna Carolina Rodrigues da Cunha;Waldo Luis de Lucca;Gianna Andréia Gobbi Spadote",,https://drive.google.com/file/d/16ZPCcpdVB0fd7a3H3BXJjCfFOPVl4Hzp/view?usp=share_link
CPV.0031,03/06/2023,Trata da designação dos membros da Equipe Local de Formação Continuada dos Professores e de Profissionais da Área Pedagógica do IFSP – Câmpus Capivari.,C,P,Alterada pela portaria 95/2023,sem mandato expresso,"Everton Pereira Barbosa;Gianna Andréia Ferreira Gobbi Spadote;Mateus Carvalho Meira",Altera 22/2023,https://drive.google.com/file/d/1UlKKro9hPB6eo6yyl5Ccr-I9Hp8ouxgI/view?usp=share_link
CPV.0032,03/08/2023,"Trata da designação de servidor e aprovação do Projeto Institucional de ""publicação, manutenção e divulgação de pacotes e softwares livres"" do IFSP CPV",P,T,vigente,7/4/2023,caio hamamura,,https://drive.google.com/file/d/1wOLPaP-D8hlqBd7Mmj9uyrPU0qZYEWFk/view?usp=share_link
CPV.0033,03/08/2023,Trata da Designação dos membros do Conselho de Câmpus (CONCAM) Biênio 2021-2023,M,P,Alterada pela portaria 54/2023,10/12/2023,"Mateus Henrique Messias, Vanessa Fonseca, Zenilton Jose da Rocha, Ademir Geraldo Cavallari Costalonga, André Valente de Barros Barreto,Carolina Marocco Corneta, Luís Eduardo Pais dos Santos, Daniela Loatti, Letícia de Goes Peressim Travaiolli, Vitor Rafael Gomes.",Altera 103/2022,https://drive.google.com/file/d/17Ll69si1ortWwraYtqiXm04WvWJQtHHU/view?usp=share_link
CPV.0034,03/08/2023,"trata da designação de servidor e aprovação do Projeto Institucional de ""Divulgação e engajamento no desenvolvimento para softwares livres"" do IFSP CPV",P,T,vigente,31/12/2022,Caio Hamamura,,https://drive.google.com/file/d/18Sd_uF8oikqxHn2cudfhKulpeFF0z1jB/view?usp=share_link
CPV.0035,03/11/2023,"Designação de fiscais de contrato 05.712/2022 - seguros Sura S.A",F,T,vigente,"até o vencimento do contrato e de sua garantia, quando houver.","Gustavo Baptistella Leite da Silva, alexandre camargo maia",,https://drive.google.com/file/d/1notFw-7TjR-2fdcPW-bcwSRtKMKtcuQd/view?usp=share_link
CPV.0036,03/15/2023,Designação de fiscais de contrato - Contrato 03.712/2023 - Digital Jundiaí Ltda,,,vigente,"até o vencimento do contrato e de sua garantia, quando houver.",Washington Ernando Pereira Benício; Larissa Carvalho Alves,,https://drive.google.com/file/d/1FP7ndLIEs6thYPC1hcqJszOH3ANJAfjL/view?usp=share_link
CPV.0037,03/15/2023,"Trata da Retificação da Portaria nº 29/2023 - DRG/CPV/IFSP de 06 de março de 2023, que trata da Banca EXAPE de Análise e Desenvolvimento de Sistemas",C,T,retificação,,,,https://drive.google.com/file/d/1t6V_fyH0DvcthZFxUfZ93amEP6S4o1Mn/view?usp=share_link
CPV.0038,03/16/2023,Trata da designação dos membros da Comissão de Matrícula do 1º Semestre de 2023,C,P,vigente,7/31/2023,Grazielle Cristine Elias;Carlos Roberto Paviotti;Francisco Márcio BarbosaTeixeira;Grazielle Nayara Felício Silva;Ina Thomé Picoli;Ivana Lopes de Olivera Arruda;Izabel Maria Barral Teixeira;Maria Ivete Pavan;Pedro Henrique Alcântara da Silva;Roberto Tadashi Kono;Talita Barbosa Plantcoski Bulgraen,Altera 130/2022,https://drive.google.com/file/d/13HclgvmX1lgamb6pxdCnRAdCkG7CrEeY/view?usp=share_link
CPV.0039,03/18/2023,"Trata da aprovação do Projeto Institucional de ""Fábrica de Software"" para o primeiro semestre letivo de 2023 do IFSP CPV",P,T,vigente,7/31/2023,Carlos Roberto Paviotti ;Edivaldo Serafim ;Rafael Wendel Pinheiro,,https://drive.google.com/file/d/1EnbKbV7YNtWUOYyFzNL3gohludlUy3i7/view?usp=share_link
CPV.0040,03/18/2023,"Trata da aprovação do Projeto Institucional de ""Comunidade de Aprendizagem"" para o primeiro semestre letivo de 2023 do IFSP CPV",C,T,vigente,7/31/2023,Ana Carla Dantas Midões ;Carlos Fernando Barboza da Silva ;Cleidson Santiago de Oliveira ;Paloma Epprecht e Machado de Campos Chaves ;Roberto Bineli Muterle,,https://drive.google.com/file/d/1AVNm-xm_avn-r1csw50VHyxLP8rbvj1M/view?usp=share_link
CPV.0041,03/18/2023,Trata da designação dos membros da Comissão de Educação a Distância (EaD) do IFSP – Câmpus Capivari.,C,P,Alterada pela Portaria 134/2023,sem mandato expresso,Valdir Antonio Vitorino Filho;Bruna Carolina Rodrigues da Cunha;Elielma de Araújo Prazeres;Gislaine Vieira Damiani;Rafael Fernando Diorio;Tiago Pellim da Silva,Altera 22/2022,https://drive.google.com/file/d/1g2xRqD1P0kiWuAK5aY5UGBVP2g1wUc5Q/view?usp=share_link
CPV.0042,03/20/2023,Trata da designação da comissão eleitoral para o CONSUP 2023-2025,C,T,vigente,até o fim do processo Eleitoral,Waldo Luis de Lucca ;Carlos Roberto Paviotti; Luciana Martins Gatti ;Jessica Wélide Tacioli; Karina Marques dos Santos,,https://drive.google.com/file/d/1XM61O1bTxF44YQCdnZxCogyWXWBKkRLV/view?usp=share_link
CPV.0043,03/20/2023,Designação de fiscais de contrato -Contrato 05.712/2019 - Paulistana vigilância desarmada e segurança patrimonial,F,P,vigente,"até o vencimento do contrato e de sua garantia, quando houver.","Luciana Martins Gatti; Eduardo Camargo Maia;Luciane Belini de Oliveira Sabó;Antonio Carlos da Silva Bomfim, Cesar eduardo armelin",,https://drive.google.com/file/d/13bW_uEEfuBDbQmJ1ibeP7QIife190u6M/view?usp=share_link
CPV.0044,03/20/2023,Designação de fiscais de contrato - Contrato 01.712/2019 - Nutrimax Ltda.,F,P,Retificada pelça portaria 47/2023,"até o vencimento do contrato e de sua garantia, quando houver.","Arlete Teresinha Esteves Brandi, Renan Giollo Francisco",,https://drive.google.com/file/d/15uVeynxeF51l-llwG9CQuQgviZu5HF5C/view?usp=share_link
CPV.0045,03/22/2023," Trata da designação de servidor e aprovação do Projeto Institucional de ""Elaboração de materiais didáticos para ensino da área de informática"" do IFSP CPV",P,T,Alterada pela portaria 60/2023,12/31/2023,"Waldo Luis de Lucca, Vitor Brandi Junior",,https://drive.google.com/file/d/1mo-XfVt1PmyCCK-oA-goK3Trt3yDmhjn/view?usp=share_link
CPV.0046,03/22/2023,Trata da revogação das portarias de fiscalização do IFSP Câmpus Capivari,R,P,revogada,,,"revoga, 14/2022; 40/2022",https://drive.google.com/file/d/1TJbPwQdNxY08SGP42DtelydrHvZbgl5D/view?usp=share_link
CPV.0047,03/28/2023,"Trata da Retificação da Portaria nº 44/2023 - DRG/CPV/IFSP, de 20 de março de 2023",R,P,Retificação,,,Retifica 44/2023,https://drive.google.com/file/d/1X6PJU3WHYtim4Ly95RUvCnUJZiXqcmG7/view?usp=share_link
CPV.0048,03/28/2023,Trata da designação dos membros da Comissão Verificadora de Aproveitamento de Estudos do Curso de Técnico em Administração Integrado ao Ensino Médio na Modalidade de Educação de Jovens e Adultos do IFSP–CâmpusCapivari.,C,P,Alterada pela portaria 120/2023,sem mandato expresso,"Juscelino Pereira de Souza;Flávio Henrique Ferraresi,Ana Carla Dantas Midões,Tatiane de Paula Sudbrack,Francine Maria Ribeiro",Altera 06/2021,https://drive.google.com/file/d/1qq7OMQXCkrhAK9pOE1qWyg-OZeNUrGKT/view?usp=share_link
CPV.0049,03/28/2023,Trata da designação dos membros da Comissão Própria de Avaliação-CPA Local 2021-2023 do IFSP-Câmpus Capivari.,C,P,alterada pela portaria 55/2023,6/30/2023,"Silvânia Regina Mendes Moreschi; Ademir Geraldo Cavallari Costalonga, Renan Giollo Francisco, Angelo Miguel Rodrigues Pereira,Vanderson Luis Facion",Altera 10/2023,https://drive.google.com/file/d/1APMH7Hh76Uq-KKsImz-AHMVale53V8bA/view?usp=share_link
CPV.0050,03/28/2023,Trata da nomeação e designação de membros para a comissão eleitoral para a eleição de coordenador (a) do curso técnico em Administração Integrado ao Ensino Médio do IFSP Câmpus Capivari,C,T,vigente,7/31/2023,"Carlos Roberto Paviotti;Meire Ramalho de Oliveira;Karina Marques dos Santos",,https://drive.google.com/file/d/1oQVNwhdTl3cNUItLIr1GP2-lSkftyf-p/view?usp=share_link
CPV.0051,03/28/2023,Trata da nomeação e designação de membros para a comissão eleitoral para a eleição de coordenador (a) do curso de Licenciatura em Química do IFSP Câmpus Capivari,C,T,vigente,7/31/2023,"Cleidson Santiago de Oliveira;João Batista de Medeiros;Roberto Bineli Muterle;Ingrid Gonçalves Leite",,https://drive.google.com/file/d/1t0jaqYp7YS6g3eFDtg4MKrR8JuzWE4gV/view?usp=share_link
CPV.0052,03/28/2023,Trata da nomeação e designação de membros para a comissão eleitoral para a eleição de coordenador (a) do curso de Análise e Desenvolvimento de Sistemas do IFSP Câmpus Capivari,C,T,vigente,7/31/2023,"Alexandre Garcia Aguado;Caio Hamamura;Jackson da Costa Gave",,https://drive.google.com/file/d/1r699MoukAxMC0NNrDKIjOzmD3G4tChUQ/view?usp=share_link
CPV.0053,03/28/2023,Trata da nomeação e designação de membros para a comissão eleitoral para a eleição de coordenador (a) do curso de Tecnologia em Processos Químicos do IFSP Câmpus Capivari,C,T,vigente,7/31/2023,"Ademir Geraldo Cavallari Costalonga;Alexandre Santa Bárbara Azevedo;Angelo Miguel Rodrigues Pereira",,https://drive.google.com/file/d/1MVW-Qt50VKr-aqVdlSHNcWtNc1GMN4E0/view?usp=share_link
CPV.0054,03/29/2023,Trata da Designação dos membros do Conselho de Câmpus (CONCAM) Biênio 2021-2023,C,P,vigente,10/11/2023,"Mateus Henrique Messias, Vanessa Fonseca, Zenilton Jose da Rocha, Ademir Geraldo Cavallari Costalonga,André Valente de Barros Barreto,Carolina Marocco Corneta,Luís Eduardo Pais dos Santos, Evelin Rosa de Jesus, Daniela Loatti, Inês Luiza Felix da Costa, Vitor Rafael Gomes",Altera 33/2023,https://drive.google.com/file/d/10mmJEmfnn9-1WnoIdvAVrVg5xN1U-rqo/view?usp=share_link
CPV.0055,03/29/2023,Trata da designação dos membros da Comissão Própria de Avaliação-CPA Local 2021-2023 do IFSP-Câmpus Capivari.,C,P,vigente,6/30/2023,"Silvânia Regina Mendes Moreschi; Ademir Geraldo Cavallari Costalonga, Renan Giollo Francisco, Angelo Miguel Rodrigues Pereira",Altera 49/2023,https://drive.google.com/file/d/1rKi0GOln7fnk16HhileqQoqa9UjVlczj/view?usp=share_link
CPV.0056,03/29/2023, Trata da nomeação e designação de membros para a comissão eleitoral para a eleição de coordenador (a) do curso de Tecnologia em Processos gerenciais Ead do IFSP Câmpus Capivari,C,T,vigente,7/31/2023,"Carlos Roberto Paviotti;Fernando César Russo Gomes;Sabrina Fleck Hisatomi",,https://drive.google.com/file/d/1zqD3vhSJ0rToW_odT4YGfJYmp3WMrmuy/view?usp=share_link
CPV.0057,03/29/2023,Trata da designação de orientadores de estágio curricular do Curso Superior de Licenciatura em Química do IFSP-Câmpus Capivari.,C,P,vigente,3/30/2025,"Carlos Fernando Barboza da Silva ;Francisco Márcio Barbosa Teixeira",Altera 52/2021,https://drive.google.com/file/d/1Tr2eERcEF2ppSFBZRxmo3FhNEVOQBc4z/view?usp=share_link
