numero,publicacao,assunto,classificacao,permanente,situacao,validade,servidores,alteracao,link
CPV.0001,01/05/2023,Trata da designação dos fiscais do Contrato 13.712/2022 referente a Extremo Consultoria Ltda (serviços de solução de nuvem),F,T,vigente,"até o vencimento do contrato e de sua garantia, quando houver.","Larissa Carvalho Alves, Junio Rodrigues de Oliveira",,https://drive.google.com/file/d/18KyN5Tg0P3Jkq74ixQuyCA9-SFVM20-x/view?usp=share_link
CPV.0002,01/12/2023,Trata Designação dos membros da Comissão Anual 2023 de Alienação e Outras Formas de Destinação de bens móveis do IFSP-Câmpus Capivari,C,P,vigente,31/12/2023,Eduardo Camargo Maia; Gilberto Bulgraen Junior; Izabel Maria Barral Teixeira; Júnio Rodrigues de Oliveira,,https://drive.google.com/file/d/1ov21DwBE8r2nhjy6jXc22-uxsSq_EBkG/view?usp=share_link
CPV.0003,01/17/2023,Trata da designação dos membros da Comissão Semana da Mulher do IFSP CPV,C,T,vigente,7/30/2023,Francine Maria Ribeiro; Bruna Carolina Rodrigues da Cunha; Érica Maio Taveira Grande; Fabiana Bigaton Tonin; Izabel Maria Barral Teixeira; Luciana Martins Gatti; Michele Cristina dos Santos; Maria Amélia Ferracciu Pagotto;Tatiane de Paula Sudbrack,Altera 135/2023,https://drive.google.com/file/d/10v5q-zm1LyZQ9tg5VRqkUu1xzH_DhIjP/view?usp=share_link
CPV.0004,01/31/2023,Trata da composição da Comissão Local de Elaboração do Plano de Desenvolvimento Institucional 2019-2023 do IFSP-Câmpus Capivari.,C,P,vigente,31/12/2023,Carlos Roberto Paviotti ; Gilberto Bulgraen Junior; Renan Giollo Francisco; Valdir Antonio Vitorino Filho;Maria Elisa de Castro Almeida,Altera 29/2022,https://drive.google.com/file/d/1SUO8zdY13HE3xong1vjEwg4gwW8y73_Z/view?usp=share_link
CPV.0005,01/31/2023,Trata da composição da Comissão de Elaboração do Plano de Desenvolvimento da Unidade (PDU) do IFSP-Câmpus Capivari referente ao ciclo de planejamento de desenvolvimento institucional entre 2019 e 2023.,C,P,vigente,31/12/2023,Carlos Roberto Paviotti; Gilberto Bulgraen Junior;Renan Giollo Francisco; Valdir Antonio Vitorino Filho; Maria Elisa de Castro Almeid,Altera 28/2022,https://drive.google.com/file/d/1fSM5opON3_DvQmJkh8dzD1mszIDX1gun/view?usp=share_link
CPV.0006,01/31/2023,Designação de fiscais de contrato 12.712/2022 ref. à Inexigibilidade de Licitação nº 02.712/2022,F,T,vigente,"até o vencimento do contrato e de sua garantia, quando houver.","Adria de Sousa Bentes , Alexandre Santa Bárbara Azevedo",,https://drive.google.com/file/d/1VMYqsEH5KkwmhcOSMSbyn8ee4X6IG5qY/view?usp=share_link
CPV.0007,01/31/2023,Trata da composição da Comissão Local de Elaboração do Plano de Desenvolvimento Institucional (PDI) 2024-2028 do IFSP-Câmpus Capivari.,C,P,vigente,31/12/2028,Carlos Roberto Paviotti; Luciana Martins Gatti; Renan Giollo Francisco; Bruna Carolina Rodrigues da Cunha; Mateus Nordi Esperança; Jamil Wagner Tizziani Camacho; Jussara Conceição de Souza dos Santos;Pamella Silva Souza Pompeu,Altera 71/2022,https://drive.google.com/file/d/1vo09-xfQFnpJCjqoT5JcFayQoT4ATbMp/view?usp=share_link
CPV.0008,02/07/2023,Trata da designação dos membros da Comissão para Avaliação de Extraordinário Aproveitamento de Estudos (EXAPE) disciplina Eletiva 2 (EL2A6) de ADS do IFSP CPV,C,T,vigente,sem mandato expresso,Bruna C. Rodrigues da Cunha; Wagner Machado do Amaral; Rafael Wendel Pinheiro; Gianna A. F. Gobbi Spadote,,https://drive.google.com/file/d/1FQTyRj1-n8Wd44yagZZ7PMns6rPt_Xnb/view?usp=share_link
CPV.0009,02/07/2023,Trata da designação dos membros da Comissão Permanente de Pessoal Docente –CPPD Local do IFSP -Câmpus Capivari,C,P,vigente,9/7/2024,Mayumi Silva Kawamoto; Tatiane de Paula Sudbrack ,Altera 111/2022,https://drive.google.com/file/d/1GtyG842eiqSHSEStmDaTpuat6WMg5F8Z/view?usp=share_link
CPV.0010,02/07/2023,Trata designação dos membros da Comissão Própria de Avaliação-CPA Local 2021-2023 do IFSP-Câmpus Capivari.,C,P,Alterada pela portaria 49/2023,3/30/2023,"Silvânia Regina Mendes Moreschi; Ademir Geraldo Cavallari Costalonga, Renan Giollo Francisco, Angelo Miguel Rodrigues Pereira,Vanderson Luis Facion",Altera 26/2022,https://drive.google.com/file/d/1Gihig7BPkwn-jt5ZrzKQDaoGLrFNeFHj/view?usp=share_link
