ano,id,numero,situacao,alteraportaria,alteradaporportaria,rawalteracao
2022,86c17fa3-5d65-4aee-80b1-a6e71b4f0b3f,CPV.0010,vigente,altera CPV.0105/2021,,vigente
2022,7c8ef99c-456f-42f0-b974-3fd7db9b31c4,CPV.0011,alterada,altera CPV.0100/2021,,Alterada pela portaria 17/2022
2022,e3350394-7f82-4663-b6ce-8adb6851ba1d,CPV.0015,revogada,altera CPV.0180/2021,,revogada pela portaria 52/2022
2022,3029ad7a-b5ec-46ac-9e4b-b84cd69f51dd,CPV.0012,alterada,altera CPV.0147/2021,,Alterada pela portaria 18/2022
2022,d72a068b-6fc2-48fd-baa9-37afee7ba03c,CPV.0016,alterada,altera CPV.0189/2021,,Alterada pela portaria 127/2022
2022,ef42be83-e405-4664-bb14-db405e5efc2a,CPV.0001,revogada,revoga CPV.0221/2021,,revogada pela portaria 81/2022
2022,43ab2172-5114-4547-8424-a00169fd8c72,CPV.0020,revogada,revoga CPV.0198/2021,,revogada pela portaria CPV. 22/2022
2022,f25e8cf2-b4dd-4a08-8f36-1bef2f51b44b,CPV.0009,alterada,altera CPV.0103/2021,,Alterada pela portaria nº 14/2022
2022,6c2250e3-802f-4005-89d3-cc97505ec076,CPV.0022,alterada,revoga CPV.0198/2021,,alterada pela portaria 41/2023
2022,6c2250e3-802f-4005-89d3-cc97505ec076,CPV.0022,alterada,revoga CPV.0174/2021,,alterada pela portaria 41/2023
2022,6c2250e3-802f-4005-89d3-cc97505ec076,CPV.0022,alterada,revoga CPV.0056/2020,,alterada pela portaria 41/2023
2022,6c2250e3-802f-4005-89d3-cc97505ec076,CPV.0022,alterada,revoga CPV.0076/2021,,alterada pela portaria 41/2023
2022,6c2250e3-802f-4005-89d3-cc97505ec076,CPV.0022,alterada,revoga CPV.0042/2021,,alterada pela portaria 41/2023
2022,9cd53d0a-de0c-454c-b506-6cc27b6e048b,CPV.0023,vigente,revoga CPV.0178/2021,,vigente
2022,03974345-2780-4335-9148-ba852cc4801a,CPV.0026,alterada,revoga CPV.0014/2021,,Alterada pela portaria 10/2023
2022,1651226e-7845-407d-87df-d9749308b771,CPV.0025,revogada,revoga CPV.0187/2021,,revogada pela portaria CPV. 32/2022
2022,e09ef88c-f848-4362-99cb-e1a7d8c666f8,CPV.0030,revogada,revoga CPV.0060/2019,,revogada
2022,44b1bede-7c72-4eb7-9cc8-66c22edaf76f,CPV.0034,vigente,revoga CPV.0029/2019,,vigente
2022,1d5dde9d-dad5-4f36-aaa2-4dd051c97fd2,CPV.0027,vigente,revoga CPV.0191/2021,,vigente
2022,a8fc251a-d5e3-4f95-b197-927cb1e5a34f,CPV.0029,revogada,revoga CPV.0085/2021,,revogada pela portaria 04/2023
2022,23c82da3-bda8-4d98-b5f5-7514f93d2482,CPV.0028,revogada,revoga CPV.0086/2021,,revogada pela portaria 5/2023
2022,e380105c-faac-47a5-9ab6-b15a1bf5f78a,CPV.0033,alterada,retifica CPV.0032/2022,,Alterada pela 17/2023
2022,57fbd75e-d43e-484c-8577-bb1daa9f701b,CPV.0035,revogada,revoga CPV.0142/2021,,revogada pela portaria nº 037/2022
